text,propertyType,locality,furnishing,city,RentOrSale,BHK,URLs
Multistorey Apartment   Danapur   Semi-Furnished   Patna   3.0   2.0   Rent,Multistorey Apartment,Danapur,Semi-Furnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1407-Sq-ft-Multistorey-Apartment-FOR-Rent-Danapur-in-Patna&id=4d423636393433373437
Multistorey Apartment   Missing   Semi-Furnished   Patna   2.0   2.0   Rent,Multistorey Apartment,Missing,Semi-Furnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-980-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Patna&id=4d423637363030303937
Residential House   Phase 1 Ashiana Nagar   Semi-Furnished   Patna   3.0   3.0   Rent,Residential House,Phase 1 Ashiana Nagar,Semi-Furnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-2500-Sq-ft-Residential-House-FOR-Rent-Phase-1-Ashiana-Nagar-in-Patna&id=4d423637363333393731
Residential House   Kumhrar   Furnished   Patna   1.0   1.0   Rent,Residential House,Kumhrar,Furnished,Patna,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-120-Sq-ft-Residential-House-FOR-Rent-Kumhrar-in-Patna&id=4d423637363638313337
Multistorey Apartment   Kumhrar   Unfurnished   Patna   2.0   2.0   Rent,Multistorey Apartment,Kumhrar,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Kumhrar-in-Patna&id=4d423637363739323233
Multistorey Apartment   Lalji Tola   Unfurnished   Patna   2.0   2.0   Rent,Multistorey Apartment,Lalji Tola,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Rent-Lalji-Tola-in-Patna&id=4d423631393339333635
Multistorey Apartment   Mitra Mandal Colony   Semi-Furnished   Patna   2.0   1.0   Rent,Multistorey Apartment,Mitra Mandal Colony,Semi-Furnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Mitra-Mandal-Colony-in-Patna&id=4d423637323030333637
Multistorey Apartment   Missing   Unfurnished   Patna   2.0   2.0   Rent,Multistorey Apartment,Missing,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1205-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Patna&id=4d423637363736383535
Builder Floor Apartment   Kaliket Nagar   Unfurnished   Patna   3.0   1.0   Rent,Builder Floor Apartment,Kaliket Nagar,Unfurnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Kaliket-Nagar-in-Patna&id=4d423637363933333237
Residential House   Patna City   Unfurnished   Patna   2.0   1.0   Rent,Residential House,Patna City,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-600-Sq-ft-Residential-House-FOR-Rent-Patna-City-in-Patna&id=4d423637363836373537
Residential House   Patna City   Unfurnished   Patna   2.0   1.0   Rent,Residential House,Patna City,Unfurnished,Patna,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-500-Sq-ft-Residential-House-FOR-Rent-Patna-City-in-Patna&id=4d423637363730373337
Multistorey Apartment   Govind Mitra Road   Semi-Furnished   Patna   1.0   1.0   Rent,Multistorey Apartment,Govind Mitra Road,Semi-Furnished,Patna,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Rent-Govind-Mitra-Road-in-Patna&id=4d423637363836363533
Multistorey Apartment   Chitragupta Nagar   Semi-Furnished   Patna   3.0   2.0   Rent,Multistorey Apartment,Chitragupta Nagar,Semi-Furnished,Patna,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Rent-Chitragupta-Nagar-in-Patna&id=4d423637363839303839
